participantId,group,lecture_type,practice_type,trialId,responseId,answer,answer_clean,correct_side,is_correct,abs_r_left,abs_r_right,duration,cleanedDuration,parameters_leftLabel,parameters_rightLabel
69e67f20876c8dcd0f10256d,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,30683,30683,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69e67f20876c8dcd0f10256d,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,12475,12475,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69e696140295abac7fb9c28b,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,8046,8046,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69e696140295abac7fb9c28b,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,5054,5054,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69ee7fcbc2188c5c2203fd8c,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,5795,5795,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69ee7fcbc2188c5c2203fd8c,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,4877,4877,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
5cbcfce214b3cb0015f03471,PC,PlotWise,Control,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,12715,12715,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
5cbcfce214b3cb0015f03471,PC,PlotWise,Control,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,6575,6575,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
65b6bb9487ad05cb475fbba5,PC,PlotWise,Control,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,16863,16863,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
65b6bb9487ad05cb475fbba5,PC,PlotWise,Control,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,5964,5964,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
666911bcb2b5e2fc50ace5e3,PC,PlotWise,Control,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,17575,17575,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
666911bcb2b5e2fc50ace5e3,PC,PlotWise,Control,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,15136,15136,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
66d88375799e00b593a8655f,PC,PlotWise,Control,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,11589,11589,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
66d88375799e00b593a8655f,PC,PlotWise,Control,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,7581,7581,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
6706bc0d8c98b64939838b2e,PC,PlotWise,Control,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,5304,5304,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
6706bc0d8c98b64939838b2e,PC,PlotWise,Control,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,4130,4130,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69419e9576aea13f332266ff,PC,PlotWise,Control,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,8040,8040,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69419e9576aea13f332266ff,PC,PlotWise,Control,choose-strongest-r-2,graph_choice,right,right,right,TRUE,0.1,0.32,4428,4428,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
